Match_No,Team 1,Team 2,Winner,Margin,Ground,Match_Date,Match_ID,Stage
48,India,Australia,Australia,6 wickets,Ahmedabad,"Nov 19, 2023",ODI # 4705,Knockouts
47,Australia,South Africa,Australia,3 wickets,Eden Gardens,"Nov 16, 2023",ODI # 4704,Knockouts
46,India,New Zealand,India,70 runs,Wankhede,"Nov 15, 2023",ODI # 4703,Knockouts
45,India,Netherlands,India,160 runs,Bengaluru,"Nov 12, 2023",ODI # 4702,Group Stage
44,England,Pakistan,England,93 runs,Eden Gardens,"Nov 11, 2023",ODI # 4701,Group Stage
43,Australia,Bangladesh,Australia,8 wickets,Pune,"Nov 11, 2023",ODI # 4700,Group Stage
42,Afghanistan,South Africa,South Africa,5 wickets,Ahmedabad,"Nov 10, 2023",ODI # 4699,Group Stage
41,New Zealand,Sri Lanka,New Zealand,5 wickets,Bengaluru,"Nov 9, 2023",ODI # 4698,Group Stage
40,England,Netherlands,England,160 runs,Pune,"Nov 8, 2023",ODI # 4697,Group Stage
39,Afghanistan,Australia,Australia,3 wickets,Wankhede,"Nov 7, 2023",ODI # 4696,Group Stage
38,Bangladesh,Sri Lanka,Bangladesh,3 wickets,Delhi,"Nov 6, 2023",ODI # 4695,Group Stage
37,India,South Africa,India,243 runs,Eden Gardens,"Nov 5, 2023",ODI # 4694,Group Stage
36,Australia,England,Australia,33 runs,Ahmedabad,"Nov 4, 2023",ODI # 4693,Group Stage
35,New Zealand,Pakistan,Pakistan,21 runs,Bengaluru,"Nov 4, 2023",ODI # 4692,Group Stage
34,Afghanistan,Netherlands,Afghanistan,7 wickets,Lucknow,"Nov 3, 2023",ODI # 4691,Group Stage
33,India,Sri Lanka,India,302 runs,Wankhede,"Nov 2, 2023",ODI # 4690,Group Stage
32,New Zealand,South Africa,South Africa,190 runs,Pune,"Nov 1, 2023",ODI # 4689,Group Stage
31,Bangladesh,Pakistan,Pakistan,7 wickets,Eden Gardens,"Oct 31, 2023",ODI # 4688,Group Stage
30,Afghanistan,Sri Lanka,Afghanistan,7 wickets,Pune,"Oct 30, 2023",ODI # 4687,Group Stage
29,India,England,India,100 runs,Lucknow,"Oct 29, 2023",ODI # 4686,Group Stage
28,Bangladesh,Netherlands,Netherlands,87 runs,Eden Gardens,"Oct 28, 2023",ODI # 4685,Group Stage
27,Australia,New Zealand,Australia,5 runs,Dharamsala,"Oct 28, 2023",ODI # 4684,Group Stage
26,Pakistan,South Africa,South Africa,1 wicket,Chennai,"Oct 27, 2023",ODI # 4683,Group Stage
25,England,Sri Lanka,Sri Lanka,8 wickets,Bengaluru,"Oct 26, 2023",ODI # 4682,Group Stage
24,Australia,Netherlands,Australia,309 runs,Delhi,"Oct 25, 2023",ODI # 4681,Group Stage
23,Bangladesh,South Africa,South Africa,149 runs,Wankhede,"Oct 24, 2023",ODI # 4680,Group Stage
22,Afghanistan,Pakistan,Afghanistan,8 wickets,Chennai,"Oct 23, 2023",ODI # 4679,Group Stage
21,India,New Zealand,India,4 wickets,Dharamsala,"Oct 22, 2023",ODI # 4678,Group Stage
20,England,South Africa,South Africa,229 runs,Wankhede,"Oct 21, 2023",ODI # 4677,Group Stage
19,Netherlands,Sri Lanka,Sri Lanka,5 wickets,Lucknow,"Oct 21, 2023",ODI # 4676,Group Stage
18,Australia,Pakistan,Australia,62 runs,Bengaluru,"Oct 20, 2023",ODI # 4675,Group Stage
17,India,Bangladesh,India,7 wickets,Pune,"Oct 19, 2023",ODI # 4674,Group Stage
16,Afghanistan,New Zealand,New Zealand,149 runs,Chennai,"Oct 18, 2023",ODI # 4673,Group Stage
15,Netherlands,South Africa,Netherlands,38 runs,Dharamsala,"Oct 17, 2023",ODI # 4672,Group Stage
14,Australia,Sri Lanka,Australia,5 wickets,Lucknow,"Oct 16, 2023",ODI # 4671,Group Stage
13,Afghanistan,England,Afghanistan,69 runs,Delhi,"Oct 15, 2023",ODI # 4670,Group Stage
12,India,Pakistan,India,7 wickets,Ahmedabad,"Oct 14, 2023",ODI # 4669,Group Stage
11,Bangladesh,New Zealand,New Zealand,8 wickets,Chennai,"Oct 13, 2023",ODI # 4668,Group Stage
10,Australia,South Africa,South Africa,134 runs,Lucknow,"Oct 12, 2023",ODI # 4667,Group Stage
9,India,Afghanistan,India,8 wickets,Delhi,"Oct 11, 2023",ODI # 4666,Group Stage
8,Pakistan,Sri Lanka,Pakistan,6 wickets,Hyderabad,"Oct 10, 2023",ODI # 4665,Group Stage
7,Bangladesh,England,England,137 runs,Dharamsala,"Oct 10, 2023",ODI # 4664,Group Stage
6,Netherlands,New Zealand,New Zealand,99 runs,Hyderabad,"Oct 9, 2023",ODI # 4663,Group Stage
5,India,Australia,India,6 wickets,Chennai,"Oct 8, 2023",ODI # 4662,Group Stage
4,South Africa,Sri Lanka,South Africa,102 runs,Delhi,"Oct 7, 2023",ODI # 4661,Group Stage
3,Afghanistan,Bangladesh,Bangladesh,6 wickets,Dharamsala,"Oct 7, 2023",ODI # 4660,Group Stage
2,Netherlands,Pakistan,Pakistan,81 runs,Hyderabad,"Oct 6, 2023",ODI # 4659,Group Stage
1,England,New Zealand,New Zealand,9 wickets,Ahmedabad,"Oct 5, 2023",ODI # 4658,Group Stage
